layer,position,log_prob_delta,ex_idx
63,s1_in_r2,0.0,0
63,o3_in_r2,0.0,0
63,s2_in_r2,0.0,0
63,o4_in_r2,0.0,0
63,s1_in_cue,0.0,0
63,o1_in_cue,0.0,0
63,s2_in_cue,0.0,0
63,analogy_site,0.0,0
64,s1_in_r1,0.0,0
64,o1_in_r1,0.0,0
64,s2_in_r1,0.0,0
64,o2_in_r1,0.0,0
64,s1_in_r2,0.0,0
64,o3_in_r2,0.0,0
64,s2_in_r2,0.0,0
64,o4_in_r2,0.0,0
64,s1_in_cue,0.0,0
64,o1_in_cue,0.0,0
64,s2_in_cue,0.0,0
64,analogy_site,0.0,0
65,s1_in_r1,0.0,0
65,o1_in_r1,0.0,0
65,s2_in_r1,0.0,0
65,o2_in_r1,0.0,0
65,s1_in_r2,0.0,0
65,o3_in_r2,0.0,0
65,s2_in_r2,0.0,0
65,o4_in_r2,0.0,0
65,s1_in_cue,0.0,0
65,o1_in_cue,0.0,0
65,s2_in_cue,0.0,0
65,analogy_site,0.0,0
66,s1_in_r1,0.0,0
66,o1_in_r1,0.0,0
66,s2_in_r1,0.0,0
66,o2_in_r1,0.0,0
66,s1_in_r2,0.0,0
66,o3_in_r2,0.0,0
66,s2_in_r2,0.0,0
66,o4_in_r2,0.0,0
66,s1_in_cue,0.0,0
66,o1_in_cue,0.0,0
66,s2_in_cue,0.0,0
66,analogy_site,0.0,0
67,s1_in_r1,0.0,0
67,o1_in_r1,0.0,0
67,s2_in_r1,0.0,0
67,o2_in_r1,0.0,0
67,s1_in_r2,0.0,0
67,o3_in_r2,0.0,0
67,s2_in_r2,0.0,0
67,o4_in_r2,0.0,0
67,s1_in_cue,0.0,0
67,o1_in_cue,0.0,0
67,s2_in_cue,0.0,0
67,analogy_site,0.0,0
68,s1_in_r1,0.0,0
68,o1_in_r1,0.0,0
68,s2_in_r1,0.0,0
68,o2_in_r1,0.0,0
68,s1_in_r2,0.0,0
68,o3_in_r2,0.0,0
68,s2_in_r2,0.0,0
68,o4_in_r2,0.0,0
68,s1_in_cue,0.0,0
68,o1_in_cue,0.0,0
68,s2_in_cue,0.0,0
68,analogy_site,0.0,0
69,s1_in_r1,0.0,0
69,o1_in_r1,0.0,0
69,s2_in_r1,0.0,0
69,o2_in_r1,0.0,0
69,s1_in_r2,0.0,0
69,o3_in_r2,0.0,0
69,s2_in_r2,0.0,0
69,o4_in_r2,0.0,0
69,s1_in_cue,0.0,0
69,o1_in_cue,0.0,0
69,s2_in_cue,0.0,0
69,analogy_site,0.0,0
70,s1_in_r1,0.0,0
70,o1_in_r1,0.0,0
70,s2_in_r1,0.0,0
70,o2_in_r1,0.0,0
70,s1_in_r2,0.0,0
70,o3_in_r2,0.0,0
70,s2_in_r2,0.0,0
70,o4_in_r2,0.0,0
70,s1_in_cue,0.0,0
70,o1_in_cue,0.0,0
70,s2_in_cue,0.0,0
70,analogy_site,0.0,0
71,s1_in_r1,0.0,0
71,o1_in_r1,0.0,0
71,s2_in_r1,0.0,0
71,o2_in_r1,0.0,0
71,s1_in_r2,0.0,0
71,o3_in_r2,0.0,0
71,s2_in_r2,0.0,0
71,o4_in_r2,0.0,0
71,s1_in_cue,0.0,0
71,o1_in_cue,0.0,0
71,s2_in_cue,0.0,0
71,analogy_site,0.0,0
72,s1_in_r1,0.0,0
72,o1_in_r1,0.0,0
72,s2_in_r1,0.0,0
72,o2_in_r1,0.0,0
72,s1_in_r2,0.0,0
72,o3_in_r2,0.0,0
72,s2_in_r2,0.0,0
72,o4_in_r2,0.0,0
72,s1_in_cue,0.0,0
72,o1_in_cue,0.0,0
72,s2_in_cue,0.0,0
72,analogy_site,0.0,0
73,s1_in_r1,0.0,0
73,o1_in_r1,0.0,0
